what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1288793977331
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1288793977331
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1288793977331
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1288793977331
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1288793977331
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1288793977331
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1288793977331
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1288793977331
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1288793977347
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1288793977347
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1288793977347
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1288793977347
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1288793977347
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1288793977347
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1288793977347
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1288793977347
os,sysinfo,,,"win32",1288793977347
arch,sysinfo,,,"x86",1288793977347
ws,sysinfo,,,"win32",1288793977347
locale,sysinfo,,,"de_DE",1288793977347
processors,sysinfo,,,"2",1288793977347
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1288793977347
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1288793977347
java.specification.name,sysinfo,,,"Java Platform API Specification",1288793977347
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288793977347
java.specification.version,sysinfo,,,"1.6",1288793977347
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288793977347
java.version,sysinfo,,,"1.6.0_22",1288793977347
java.vm.info,sysinfo,,,"mixed mode",1288793977347
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1288793977347
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288793977347
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288793977347
java.vm.specification.version,sysinfo,,,"1.0",1288793977347
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1288793977347
java.vm.version,sysinfo,,,"17.1-b03",1288793977347
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1288793978376
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288793978954
